name,node
1,15
2,7
3,15
4,15
5,15
6,9
7,9
8,9
9,9
10,10
11,10
12,7
13,9
14,9
15,41
16,25
17,24
18,25
19,41
20,56
21,42
22,42
23,41
24,33
25,25
26,5
27,13
28,13
29,13
30,41
31,39
32,41
33,41
34,24
35,22
36,20
37,20
38,24
39,7
40,5
41,10
42,13
43,5
44,5
45,5
46,20
47,46
48,20
49,20
50,39
51,41
52,60
53,49
54,60
55,63
56,56
57,60
58,41
59,49
60,55
61,38
62,38
63,7
64,9
65,13
66,10
67,15
68,5
69,5
70,5
71,9
72,33
73,13
74,14
75,14
76,13
77,32
78,47
79,38
80,55
81,38
82,41
83,33
84,51
85,41
86,7
87,15
88,7
89,14
90,15
91,5
92,5
93,10
94,13
95,5
96,5
97,10
98,24
99,19
100,24
101,20
102,25
103,56
104,5
105,5
106,5
107,5
108,24
109,41
110,46
111,41
112,41
113,38
114,33
115,41
116,7
117,9
118,60
119,52
120,42
121,32
122,15
123,33
124,32
125,7
126,25
127,24
128,24
129,19
130,60
131,47
132,60
133,47
134,19
135,19
136,22
137,14
138,5
139,13
140,14
141,13
142,51
143,58
144,49
145,62
146,60
147,49
148,49
149,52
150,33
151,41
152,58
153,25
154,20
155,19
156,19
157,5
158,7
159,13
160,5
161,22
162,19
163,19
164,22
165,24
166,26
167,15
168,49
169,47
170,24
171,46
172,39
173,49
174,33
175,34
176,58
177,25
178,42
179,38
180,32
181,33
182,62
183,42
184,51
185,39
186,51
187,51
188,14
189,13
190,26
191,10
192,24
193,20
194,25
195,25
196,60
197,55
198,58
199,62
200,22
201,19
202,20
203,19
204,49
205,62
206,49
207,47
208,32
209,13
210,38
211,32
212,34
213,7
214,7
215,14
216,15
217,56
218,51
219,63
220,39
221,62
222,14
223,26
224,14
225,14
226,20
227,24
228,22
229,19
230,9
231,7
232,9
233,10
234,49
235,43
236,49
237,39
238,56
239,51
240,56
241,49
242,32
243,33
244,33
245,60
246,56
247,60
248,63
249,62
250,26
251,15
252,15
253,22
254,25
255,25
256,39
257,24
258,25
259,24
260,25
261,22
262,20
263,15
264,15
265,15
266,14
267,55
268,39
269,33
270,52
271,39
272,33
273,43
274,33
275,32
276,32
277,33
278,32
279,49
280,56
281,24
282,25
283,38
284,25
285,24
286,15
287,15
288,10
289,15
290,7
291,10
292,26
293,10
294,49
295,58
296,51
297,47
298,46
299,26
300,46
301,26
302,55
303,56
304,60
305,58
306,43
307,34
308,34
309,43
310,52
311,63
312,56
313,62
314,43
315,38
316,43
317,25
318,49
319,39
320,47
321,42
322,52
323,63
324,33
325,60
326,60
327,60
328,55
329,55
330,58
331,62
332,56
333,58
334,34
335,33
336,39
337,39
338,52
339,47
340,47
341,43
342,34
343,51
344,62
345,62
346,62
347,56
348,60
349,62
350,58
351,55
352,56
353,55
354,52
355,52
356,52
357,52
358,33
359,47
360,46
361,46
362,34
363,32
364,24
365,26
366,25
367,22
368,42
369,42
370,42
371,42
372,47
373,43
374,38
375,43
376,52
377,63
378,63
379,56
380,56
381,39
382,52
383,55
384,58
385,58
386,62
387,34
388,26
389,43
390,24
391,43
392,51
393,43
394,39
395,56
396,51
397,46
398,46
